# [variable_independiente] [variable_dependiente] [derivada_variable_dependiente]
-4.2602739726e-01 4.3981063567e-01 -3.9811296503e-01
-4.2328767123e-01 4.4168560833e-01 -5.8176068472e-01
-4.2054794521e-01 4.3580965741e-01 -7.5846946816e-01
-4.1780821918e-01 4.4056080091e-01 -9.2794862742e-01
-4.1506849315e-01 4.3961430511e-01 -1.0899294490e+00
-4.1232876712e-01 4.3453801455e-01 -1.2441653974e+00
-4.0958904110e-01 4.2756494864e-01 -1.3904322678e+00
-4.0684931507e-01 4.1302944194e-01 -1.5285282890e+00
-4.0410958904e-01 4.3497481381e-01 -1.6582741779e+00
-4.0136986301e-01 4.1759735265e-01 -1.7795131454e+00
-3.9863013699e-01 4.1550792747e-01 -1.8921108556e+00
-3.9589041096e-01 4.0678498418e-01 -1.9959553396e+00
-3.9315068493e-01 4.0410874090e-01 -2.0909568640e+00
-3.9041095890e-01 3.8657161465e-01 -2.1770477562e+00
-3.8767123288e-01 3.8797020440e-01 -2.2541821874e+00
-3.8493150685e-01 3.6201897075e-01 -2.3223359146e+00
-3.8219178082e-01 3.8836516975e-01 -2.3815059830e+00
-3.7945205479e-01 3.5457157443e-01 -2.4317103902e+00
-3.7671232877e-01 3.5982646847e-01 -2.4729877134e+00
-3.7397260274e-01 3.5887085055e-01 -2.5053967010e+00
-3.7123287671e-01 3.4144123839e-01 -2.5290158311e+00
-3.6849315068e-01 3.5709322653e-01 -2.5439428364e+00
-3.6575342466e-01 3.4290392719e-01 -2.5502941990e+00
-3.6301369863e-01 3.3450975279e-01 -2.5482046156e+00
-3.6027397260e-01 3.1586322451e-01 -2.5378264348e+00
-3.5753424658e-01 3.2648032954e-01 -2.5193290686e+00
-3.5479452055e-01 3.2963793198e-01 -2.4928983784e+00
-3.5205479452e-01 3.0203667545e-01 -2.4587360390e+00
-3.4931506849e-01 3.0596220080e-01 -2.4170588806e+00
-3.4657534247e-01 2.9840418252e-01 -2.3680982111e+00
-3.4383561644e-01 2.7347113493e-01 -2.3120991200e+00
-3.4109589041e-01 2.6982308178e-01 -2.2493197665e+00
-3.3835616438e-01 2.8424837824e-01 -2.1800306520e+00
-3.3561643836e-01 2.7233696943e-01 -2.1045138789e+00
-3.3287671233e-01 2.6297202182e-01 -2.0230623989e+00
-3.3013698630e-01 2.7483680889e-01 -1.9359792498e+00
-3.2739726027e-01 2.3954079034e-01 -1.8435767847e+00
-3.2465753425e-01 2.4204013571e-01 -1.7461758935e+00
-3.2191780822e-01 2.5578776302e-01 -1.6441052198e+00
-3.1917808219e-01 2.4385950105e-01 -1.5377003723e+00
-3.1643835616e-01 2.2733488314e-01 -1.4273031358e+00
-3.1369863014e-01 2.2440010831e-01 -1.3132606794e+00
-3.1095890411e-01 2.1321498216e-01 -1.1959247664e+00
-3.0821917808e-01 2.0431902867e-01 -1.0756509652e+00
-3.0547945205e-01 2.1860615562e-01 -9.5279786473e-01
-3.0273972603e-01 2.2270019381e-01 -8.2772629308e-01
-3.0000000000e-01 2.0290944416e-01 -7.0079854341e-01
-2.9726027397e-01 2.1180421356e-01 -5.7237760652e-01
-2.9452054795e-01 2.0699566196e-01 -4.4282641229e-01
-2.9178082192e-01 2.1172694810e-01 -3.1250708093e-01
-2.8904109589e-01 2.0246516771e-01 -1.8178018522e-01
-2.8630136986e-01 2.1037801119e-01 -5.1004025078e-02
-2.8356164384e-01 2.0277139296e-01 7.9466084591e-02
-2.8082191781e-01 2.0188867319e-01 2.0927851162e-01
-2.7808219178e-01 2.1167271754e-01 3.3808598877e-01
-2.7534246575e-01 2.1582781819e-01 4.6554627955e-01
-2.7260273973e-01 2.0243931132e-01 5.9132282643e-01
-2.6986301370e-01 2.2230104613e-01 7.1508538087e-01
-2.6712328767e-01 2.0190106629e-01 8.3651061399e-01
-2.6438356164e-01 1.9206879549e-01 9.5528270727e-01
-2.6164383562e-01 2.0915846524e-01 1.0710939223e+00
-2.5890410959e-01 2.1372573180e-01 1.1836451491e+00
-2.5616438356e-01 2.3395739066e-01 1.2926464319e+00
-2.5342465753e-01 2.2613978567e-01 1.3978174723e+00
-2.5068493151e-01 2.4151677976e-01 1.4988881088e+00
-2.4794520548e-01 2.3229465934e-01 1.5955987720e+00
-2.4520547945e-01 2.4645917963e-01 1.6877009156e+00
-2.4246575342e-01 2.4751930008e-01 1.7749574221e+00
-2.3972602740e-01 2.3445981288e-01 1.8571429831e+00
-2.3698630137e-01 2.4557788056e-01 1.9340444537e+00
-2.3424657534e-01 2.5397562715e-01 2.0054611808e+00
-2.3150684932e-01 2.4290743450e-01 2.0712053051e+00
-2.2876712329e-01 2.5994683795e-01 2.1311020360e+00
-2.2602739726e-01 2.7696643619e-01 2.1849899004e+00
-2.2328767123e-01 2.8080261313e-01 2.2327209634e+00
-2.2054794521e-01 3.1302310124e-01 2.2741610233e+00
-2.1780821918e-01 3.0993889134e-01 2.3091897780e+00
-2.1506849315e-01 3.1209726919e-01 2.3377009655e+00
-2.1232876712e-01 3.2300145540e-01 2.3596024768e+00
-2.0958904110e-01 3.3162044919e-01 2.3748164412e+00
-2.0684931507e-01 3.1329497752e-01 2.3832792859e+00
-2.0410958904e-01 3.2093395792e-01 2.3849417678e+00
-2.0136986301e-01 3.1832567501e-01 2.3797689792e+00
-1.9863013699e-01 3.4209101096e-01 2.3677403277e+00
-1.9589041096e-01 3.6588813026e-01 2.3488494886e+00
-1.9315068493e-01 3.6105122863e-01 2.3231043336e+00
-1.9041095890e-01 3.6389629937e-01 2.2905268324e+00
-1.8767123288e-01 3.8013049871e-01 2.2511529305e+00
-1.8493150685e-01 3.7873661842e-01 2.2050324020e+00
-1.8219178082e-01 3.8297719781e-01 2.1522286785e+00
-1.7945205479e-01 4.0066336439e-01 2.0928186544e+00
-1.7671232877e-01 4.1316174820e-01 2.0268924690e+00
-1.7397260274e-01 4.0492746725e-01 1.9545532667e+00
-1.7123287671e-01 4.0519952857e-01 1.8759169347e+00
-1.6849315068e-01 3.8531182745e-01 1.7911118198e+00
-1.6575342466e-01 4.0655530154e-01 1.7002784245e+00
-1.6301369863e-01 4.1565751478e-01 1.6035690833e+00
-1.6027397260e-01 4.0940220426e-01 1.5011476195e+00
-1.5753424658e-01 4.2464534208e-01 1.3931889837e+00
-1.5479452055e-01 4.2828203546e-01 1.2798788746e+00
-1.5205479452e-01 4.4190487165e-01 1.1614133426e+00
-1.4931506849e-01 4.2258514985e-01 1.0379983773e+00
-1.4657534247e-01 4.4209728303e-01 9.0984947947e-01
-1.4383561644e-01 4.5301599790e-01 7.7719121886e-01
-1.4109589041e-01 4.5124343404e-01 6.4025677765e-01
-1.3835616438e-01 4.3932829319e-01 4.9928748145e-01
-1.3561643836e-01 4.4428908976e-01 3.5453231816e-01
-1.3287671233e-01 4.5558605863e-01 2.0624744571e-01
-1.3013698630e-01 4.4060280819e-01 5.4695689471e-02
-1.2739726027e-01 4.4371648623e-01 -9.9853969570e-02
-1.2465753425e-01 4.5686033467e-01 -2.5712691513e-01
-1.2191780822e-01 4.3575644319e-01 -4.1684342345e-01
-1.1917808219e-01 4.5535293354e-01 -5.7871919774e-01
-1.1643835616e-01 4.5982676310e-01 -7.4246590825e-01
-1.1369863014e-01 4.3051759491e-01 -9.0779173714e-01
-1.1095890411e-01 4.3475986506e-01 -1.0744019271e+00
-1.0821917808e-01 4.2740463265e-01 -1.2419993329e+00
-1.0547945205e-01 4.1930309378e-01 -1.4102849749e+00
-1.0273972603e-01 4.3294615697e-01 -1.5789585936e+00
-1.0000000000e-01 4.4117832849e-01 -1.7477192040e+00
-9.7260273973e-02 4.0725992297e-01 -1.9162656498e+00
-9.4520547945e-02 4.1473176152e-01 -2.0842971550e+00
-9.1780821918e-02 3.9556879181e-01 -2.2515138739e+00
-8.9041095890e-02 4.1626809161e-01 -2.4176174363e+00
-8.6301369863e-02 3.8584851448e-01 -2.5823114896e+00
-8.3561643836e-02 3.6746867914e-01 -2.7453022346e+00
-8.0821917808e-02 3.9948681424e-01 -2.9062989555e+00
-7.8082191781e-02 3.6542280426e-01 -3.0650145432e+00
-7.5342465753e-02 3.5305340865e-01 -3.2211660099e+00
-7.2602739726e-02 3.5493491210e-01 -3.3744749963e+00
-6.9863013699e-02 3.4597633109e-01 -3.5246682681e+00
-6.7123287671e-02 3.4809119628e-01 -3.6714782026e+00
-6.4383561644e-02 3.0454619005e-01 -3.8146432649e+00
-6.1643835616e-02 3.0115995101e-01 -3.9539084715e+00
-5.8904109589e-02 2.9513839063e-01 -4.0890258419e+00
-5.6164383562e-02 2.8521744328e-01 -4.2197548365e+00
-5.3424657534e-02 2.9773077342e-01 -4.3458627813e+00
-5.0684931507e-02 2.7446559678e-01 -4.4671252774e+00
-4.7945205479e-02 2.5041958030e-01 -4.5833265956e+00
-4.5205479452e-02 2.3369009095e-01 -4.6942600551e+00
-4.2465753425e-02 2.2601804902e-01 -4.7997283859e+00
-3.9726027397e-02 2.2350671818e-01 -4.8995440745e+00
-3.6986301370e-02 1.9411972880e-01 -4.9935296911e+00
-3.4246575342e-02 1.7809973514e-01 -5.0815182003e+00
-3.1506849315e-02 1.5579993040e-01 -5.1633532520e+00
-2.8767123288e-02 1.5724299517e-01 -5.2388894542e+00
-2.6027397260e-02 1.4512625984e-01 -5.3079926260e+00
-2.3287671233e-02 1.2315650643e-01 -5.3705400315e+00
-2.0547945205e-02 1.1804750920e-01 -5.4264205928e+00
-1.7808219178e-02 9.7859129056e-02 -5.4755350831e+00
-1.5068493151e-02 7.9851379597e-02 -5.5177962992e+00
-1.2328767123e-02 7.4219376779e-02 -5.5531292126e+00
-9.5890410959e-03 3.4963772351e-02 -5.5814710997e+00
-6.8493150685e-03 3.9223557275e-02 -5.6027716508e+00
-4.1095890411e-03 2.5988508881e-02 -5.6169930572e+00
-1.3698630137e-03 2.6906433974e-02 -5.6241100764e+00
1.3698630137e-03 -2.0359567969e-02 -5.6241100764e+00
4.1095890411e-03 1.0719728693e-03 -5.6169930572e+00
6.8493150685e-03 -5.3424612478e-02 -5.6027716508e+00
9.5890410959e-03 -4.0868430118e-02 -5.5814710997e+00
1.2328767123e-02 -6.2105404054e-02 -5.5531292126e+00
1.5068493151e-02 -6.2003376569e-02 -5.5177962992e+00
1.7808219178e-02 -1.2046047890e-01 -5.4755350831e+00
2.0547945205e-02 -1.2775012154e-01 -5.4264205928e+00
2.3287671233e-02 -1.2714752872e-01 -5.3705400315e+00
2.6027397260e-02 -1.5426862777e-01 -5.3079926260e+00
2.8767123288e-02 -1.4759098010e-01 -5.2388894542e+00
3.1506849315e-02 -1.5776279410e-01 -5.1633532520e+00
3.4246575342e-02 -2.0017509572e-01 -5.0815182003e+00
3.6986301370e-02 -2.0476321606e-01 -4.9935296911e+00
3.9726027397e-02 -2.0543491130e-01 -4.8995440745e+00
4.2465753425e-02 -2.1811615486e-01 -4.7997283859e+00
4.5205479452e-02 -2.4339572847e-01 -4.6942600551e+00
4.7945205479e-02 -2.4713688666e-01 -4.5833265956e+00
5.0684931507e-02 -2.4946330543e-01 -4.4671252774e+00
5.3424657534e-02 -2.6941885870e-01 -4.3458627813e+00
5.6164383562e-02 -2.8963267109e-01 -4.2197548365e+00
5.8904109589e-02 -3.0753723558e-01 -4.0890258419e+00
6.1643835616e-02 -3.0514554173e-01 -3.9539084715e+00
6.4383561644e-02 -3.2809642874e-01 -3.8146432649e+00
6.7123287671e-02 -3.3759919191e-01 -3.6714782026e+00
6.9863013699e-02 -3.4113547514e-01 -3.5246682681e+00
7.2602739726e-02 -3.6437626688e-01 -3.3744749963e+00
7.5342465753e-02 -3.4917178236e-01 -3.2211660099e+00
7.8082191781e-02 -3.6936494720e-01 -3.0650145432e+00
8.0821917808e-02 -3.6846908157e-01 -2.9062989555e+00
8.3561643836e-02 -3.9119913020e-01 -2.7453022346e+00
8.6301369863e-02 -3.9097235967e-01 -2.5823114896e+00
8.9041095890e-02 -3.8701959784e-01 -2.4176174363e+00
9.1780821918e-02 -4.0035283712e-01 -2.2515138739e+00
9.4520547945e-02 -4.0087845861e-01 -2.0842971550e+00
9.7260273973e-02 -4.1577114658e-01 -1.9162656498e+00
1.0000000000e-01 -4.2500809392e-01 -1.7477192040e+00
1.0273972603e-01 -4.1744173899e-01 -1.5789585936e+00
1.0547945205e-01 -4.2568652933e-01 -1.4102849749e+00
1.0821917808e-01 -4.3158398901e-01 -1.2419993329e+00
1.1095890411e-01 -4.4170440213e-01 -1.0744019271e+00
1.1369863014e-01 -4.5240323676e-01 -9.0779173714e-01
1.1643835616e-01 -4.4293765712e-01 -7.4246590825e-01
1.1917808219e-01 -4.5394421786e-01 -5.7871919774e-01
1.2191780822e-01 -4.6518353123e-01 -4.1684342345e-01
1.2465753425e-01 -4.4203596335e-01 -2.5712691513e-01
1.2739726027e-01 -4.3951087751e-01 -9.9853969570e-02
1.3013698630e-01 -4.3706906549e-01 5.4695689471e-02
1.3287671233e-01 -4.3951398695e-01 2.0624744571e-01
1.3561643836e-01 -4.4357307133e-01 3.5453231816e-01
1.3835616438e-01 -4.3161523758e-01 4.9928748145e-01
1.4109589041e-01 -4.3782487505e-01 6.4025677765e-01
1.4383561644e-01 -4.6191685871e-01 7.7719121886e-01
1.4657534247e-01 -4.2811088271e-01 9.0984947947e-01
1.4931506849e-01 -4.2850228060e-01 1.0379983773e+00
1.5205479452e-01 -4.2151737883e-01 1.1614133426e+00
1.5479452055e-01 -4.1339848686e-01 1.2798788746e+00
1.5753424658e-01 -4.2186143246e-01 1.3931889837e+00
1.6027397260e-01 -4.2362265807e-01 1.5011476195e+00
1.6301369863e-01 -4.1142425470e-01 1.6035690833e+00
1.6575342466e-01 -4.0523080639e-01 1.7002784245e+00
1.6849315068e-01 -3.9196627125e-01 1.7911118198e+00
1.7123287671e-01 -3.8813094315e-01 1.8759169347e+00
1.7397260274e-01 -4.0171410117e-01 1.9545532667e+00
1.7671232877e-01 -4.1099310817e-01 2.0268924690e+00
1.7945205479e-01 -3.9239060437e-01 2.0928186544e+00
1.8219178082e-01 -3.7892921848e-01 2.1522286785e+00
1.8493150685e-01 -3.8763897037e-01 2.2050324020e+00
1.8767123288e-01 -3.6055494545e-01 2.2511529305e+00
1.9041095890e-01 -3.5239898804e-01 2.2905268324e+00
1.9315068493e-01 -3.6523853417e-01 2.3231043336e+00
1.9589041096e-01 -3.4258789943e-01 2.3488494886e+00
1.9863013699e-01 -3.4776362104e-01 2.3677403277e+00
2.0136986301e-01 -3.3196105597e-01 2.3797689792e+00
2.0410958904e-01 -3.4455583575e-01 2.3849417678e+00
2.0684931507e-01 -3.1596268021e-01 2.3832792859e+00
2.0958904110e-01 -3.1297962542e-01 2.3748164412e+00
2.1232876712e-01 -3.0904242599e-01 2.3596024768e+00
2.1506849315e-01 -3.0684020280e-01 2.3377009655e+00
2.1780821918e-01 -3.0505859191e-01 2.3091897780e+00
2.2054794521e-01 -2.8932917597e-01 2.2741610233e+00
2.2328767123e-01 -2.8801597539e-01 2.2327209634e+00
2.2602739726e-01 -2.8571701605e-01 2.1849899004e+00
2.2876712329e-01 -2.7206494314e-01 2.1311020360e+00
2.3150684932e-01 -2.6307375428e-01 2.0712053051e+00
2.3424657534e-01 -2.7362099433e-01 2.0054611808e+00
2.3698630137e-01 -2.6480976687e-01 1.9340444537e+00
2.3972602740e-01 -2.4329716429e-01 1.8571429831e+00
2.4246575342e-01 -2.4760753541e-01 1.7749574221e+00
2.4520547945e-01 -2.4281758280e-01 1.6877009156e+00
2.4794520548e-01 -2.3950084081e-01 1.5955987720e+00
2.5068493151e-01 -2.4028761270e-01 1.4988881088e+00
2.5342465753e-01 -2.3438121097e-01 1.3978174723e+00
2.5616438356e-01 -2.3688432541e-01 1.2926464319e+00
2.5890410959e-01 -2.1194259374e-01 1.1836451491e+00
2.6164383562e-01 -2.1931022216e-01 1.0710939223e+00
2.6438356164e-01 -2.2979932635e-01 9.5528270727e-01
2.6712328767e-01 -2.2670001564e-01 8.3651061399e-01
2.6986301370e-01 -2.0736215835e-01 7.1508538087e-01
2.7260273973e-01 -2.1040877930e-01 5.9132282643e-01
2.7534246575e-01 -2.1109643900e-01 4.6554627955e-01
2.7808219178e-01 -2.0257472167e-01 3.3808598877e-01
2.8082191781e-01 -2.1449686957e-01 2.0927851162e-01
2.8356164384e-01 -1.9913891266e-01 7.9466084591e-02
2.8630136986e-01 -2.0005121655e-01 -5.1004025078e-02
2.8904109589e-01 -2.2502853353e-01 -1.8178018522e-01
2.9178082192e-01 -2.0696086624e-01 -3.1250708093e-01
2.9452054795e-01 -2.3452380945e-01 -4.4282641229e-01
2.9726027397e-01 -1.9197434178e-01 -5.7237760652e-01
3.0000000000e-01 -2.2528997325e-01 -7.0079854341e-01
3.0273972603e-01 -2.1898214932e-01 -8.2772629308e-01
3.0547945205e-01 -2.0426664609e-01 -9.5279786473e-01
3.0821917808e-01 -2.1765440811e-01 -1.0756509652e+00
3.1095890411e-01 -2.3022758344e-01 -1.1959247664e+00
3.1369863014e-01 -2.3956481791e-01 -1.3132606794e+00
3.1643835616e-01 -2.2415080027e-01 -1.4273031358e+00
3.1917808219e-01 -2.2061775059e-01 -1.5377003723e+00
3.2191780822e-01 -2.4577542226e-01 -1.6441052198e+00
3.2465753425e-01 -2.4191309086e-01 -1.7461758935e+00
3.2739726027e-01 -2.4044262423e-01 -1.8435767847e+00
3.3013698630e-01 -2.5867395300e-01 -1.9359792498e+00
3.3287671233e-01 -2.4716801923e-01 -2.0230623989e+00
3.3561643836e-01 -2.5497676715e-01 -2.1045138789e+00
3.3835616438e-01 -2.8590349060e-01 -2.1800306520e+00
3.4109589041e-01 -2.7983753665e-01 -2.2493197665e+00
3.4383561644e-01 -2.8326522638e-01 -2.3120991200e+00
3.4657534247e-01 -2.8854655386e-01 -2.3680982111e+00
3.4931506849e-01 -2.9932965540e-01 -2.4170588806e+00
3.5205479452e-01 -3.1482389685e-01 -2.4587360390e+00
3.5479452055e-01 -3.0113450505e-01 -2.4928983784e+00
3.5753424658e-01 -3.0423016129e-01 -2.5193290686e+00
3.6027397260e-01 -3.2992686251e-01 -2.5378264348e+00
3.6301369863e-01 -3.3178645133e-01 -2.5482046156e+00
3.6575342466e-01 -3.3148487982e-01 -2.5502941990e+00
3.6849315068e-01 -3.4796817268e-01 -2.5439428364e+00
3.7123287671e-01 -3.3350060584e-01 -2.5290158311e+00
3.7397260274e-01 -3.6625399253e-01 -2.5053967010e+00
3.7671232877e-01 -3.6796055512e-01 -2.4729877134e+00
3.7945205479e-01 -3.7586911556e-01 -2.4317103902e+00
3.8219178082e-01 -3.7829741321e-01 -2.3815059830e+00
3.8493150685e-01 -3.7983995903e-01 -2.3223359146e+00
3.8767123288e-01 -3.8893126145e-01 -2.2541821874e+00
3.9041095890e-01 -4.0296289917e-01 -2.1770477562e+00
3.9315068493e-01 -4.0552603056e-01 -2.0909568640e+00
3.9589041096e-01 -4.1731200266e-01 -1.9959553396e+00
3.9863013699e-01 -4.0154998794e-01 -1.8921108556e+00
4.0136986301e-01 -4.2619051721e-01 -1.7795131454e+00
4.0410958904e-01 -4.1692994149e-01 -1.6582741779e+00
4.0684931507e-01 -4.1751189267e-01 -1.5285282890e+00
4.0958904110e-01 -4.3344612249e-01 -1.3904322678e+00
4.1232876712e-01 -4.2751207366e-01 -1.2441653974e+00
4.1506849315e-01 -4.3629394366e-01 -1.0899294490e+00
4.1780821918e-01 -4.4857711271e-01 -9.2794862742e-01
4.2054794521e-01 -4.3545834658e-01 -7.5846946816e-01
4.2328767123e-01 -4.4703660532e-01 -5.8176068472e-01
4.2602739726e-01 -4.6038493463e-01 -3.9811296503e-01
4.2876712329e-01 -4.3522371042e-01 -2.0783871674e-01
4.3150684932e-01 -4.5151751467e-01 -1.1271760398e-02
4.3424657534e-01 -4.4016846509e-01 1.9123302999e-01
4.3698630137e-01 -4.3762850167e-01 3.9930013951e-01
4.3972602740e-01 -4.4470749523e-01 6.1253387839e-01
4.4246575342e-01 -4.6325972278e-01 8.3051890205e-01
4.4520547945e-01 -4.6002600688e-01 1.0528207851e+00
4.4794520548e-01 -4.4968739060e-01 1.2789866497e+00
4.5068493151e-01 -4.5112368903e-01 1.5085458482e+00
4.5342465753e-01 -4.2903316989e-01 1.7410107000e+00
4.5616438356e-01 -4.1890881378e-01 1.9758772822e+00
4.5890410959e-01 -4.2052826255e-01 2.2126262745e+00
4.6164383562e-01 -4.2844033790e-01 2.4507238574e+00
4.6438356164e-01 -4.0581363122e-01 2.6896226625e+00
4.6712328767e-01 -4.1949713135e-01 2.9287627762e+00
4.6986301370e-01 -3.9124575044e-01 3.1675727943e+00
4.7260273973e-01 -3.8794278126e-01 3.4054709267e+00
4.7534246575e-01 -3.7849058177e-01 3.6418661531e+00
4.7808219178e-01 -3.6441340800e-01 3.8761594258e+00
4.8082191781e-01 -3.6129820910e-01 4.1077449206e+00
4.8356164384e-01 -3.3556726891e-01 4.3360113332e+00
4.8630136986e-01 -3.2814547348e-01 4.5603432201e+00
4.8904109589e-01 -3.1552320671e-01 4.7801223821e+00
4.9178082192e-01 -2.9574329821e-01 4.9947292888e+00
4.9452054795e-01 -2.8290620116e-01 5.2035445417e+00
4.9726027397e-01 -2.7129886428e-01 5.4059503744e+00
5.0000000000e-01 -2.6231766565e-01 5.6013321877e+00
5.0273972603e-01 -2.3826585656e-01 5.7890801164e+00
